reportTable1,reportTable2,reportTable3
,/Users/mattgaidica/Documents/Data/ChoiceTask/R0117/R0117-rawdata,/Volumes/RecordingsLeventhal2/ChoiceTask/R0117/R0117-rawdata
R0117_20160126a,0,1
R0117_20160127a,0,1
R0117_20160128a,0,1
R0117_20160201a,0,1
R0117_20160202a,0,1
R0117_20160203a,0,1
R0117_20160204a,0,1
R0117_20160205a,0,1
R0117_20160208a,0,1
R0117_20160209a,0,1
R0117_20160210a,0,1
R0117_20160211a,0,1
R0117_20160215a,0,1
R0117_20160217a,0,1
R0117_20160218a,0,1
R0117_20160219a,0,1
R0117_20160222a,0,1
R0117_20160223a,0,1
R0117_20160225a,0,1
R0117_20160226a,0,1
R0117_20160229a,0,1
R0117_20160302a,0,1
R0117_20160303a,0,1
R0117_20160304a,0,1
R0117_20160307a,0,1
R0117_20160308a,0,1
R0117_20160310a,0,1
R0117_20160311a,0,1
R0117_20160315a,0,1
R0117_20160316a,0,1
R0117_20160317a,0,1
R0117_20160318a,0,1
R0117_20160321a,0,1
R0117_20160322a,0,1
R0117_20160323a,0,1
R0117_20160324a,0,1
R0117_20160325a,0,1
R0117_20160328a,0,1
R0117_20160329a,0,1
R0117_20160330a,0,1
R0117_20160331a,0,1
R0117_20160401a,0,1
R0117_20160404a,0,1
R0117_20160408a,0,1
R0117_20160415a,0,1
R0117_20160418a,0,1
R0117_20160419a,0,1
R0117_20160420a,0,1
R0117_20160421a,0,1
R0117_20160426a,0,1
R0117_20160427a,0,1
R0117_20160428a,0,1
R0117_20160429a,0,1
R0117_20160430a,0,1
R0117_20160501a,0,1
R0117_20160503a,0,1
R0117_20160503b,0,1
R0117_20160504a,1,1
R0117_20160505a,0,1
R0117_20160506a,0,1
R0117_20160507a,0,1
R0117_20160508a,0,1
R0117_20160509a,0,1
R0117_20160510a,0,1
R0117_20160510b,0,1
